fipscode,last,party,votepct
18113,Trump,GOP,0.739708
18115,Trump,GOP,0.667967
18117,Trump,GOP,0.728426
18119,Trump,GOP,0.735662
18121,Trump,GOP,0.769999
18123,Trump,GOP,0.612818
18125,Trump,GOP,0.754341
18127,Trump,GOP,0.520866
18129,Trump,GOP,0.69579
18131,Trump,GOP,0.731312
18133,Trump,GOP,0.739861
18135,Trump,GOP,0.750994
18137,Trump,GOP,0.78947
18139,Trump,GOP,0.760842
18141,Trump,GOP,0.462356
18143,Trump,GOP,0.721129
18145,Trump,GOP,0.728728
18147,Trump,GOP,0.683165
18149,Trump,GOP,0.725559
18151,Trump,GOP,0.701275
18153,Trump,GOP,0.74394
18155,Trump,GOP,0.754576
18157,Trump,GOP,0.484124
18159,Trump,GOP,0.752927
18161,Trump,GOP,0.771748
18163,Trump,GOP,0.539359
18165,Trump,GOP,0.693048
18167,Trump,GOP,0.563372
18169,Trump,GOP,0.738489
18171,Trump,GOP,0.76068
18173,Trump,GOP,0.630835
18175,Trump,GOP,0.751298
18177,Trump,GOP,0.635059
18179,Trump,GOP,0.772928
18181,Trump,GOP,0.713057
18183,Trump,GOP,0.732919
20001,Trump,GOP,0.715886
20003,Trump,GOP,0.772416
20005,Trump,GOP,0.659409
20007,Trump,GOP,0.859949
20009,Trump,GOP,0.773405
20011,Trump,GOP,0.752397
20013,Trump,GOP,0.729591
20015,Trump,GOP,0.696002
20017,Trump,GOP,0.753186
20019,Trump,GOP,0.8554
20021,Trump,GOP,0.741236
20023,Trump,GOP,0.827852
20025,Trump,GOP,0.847235
20027,Trump,GOP,0.759684
20029,Trump,GOP,0.760497
20031,Trump,GOP,0.764294
20033,Trump,GOP,0.831878
20035,Trump,GOP,0.678519
20037,Trump,GOP,0.603485
20039,Trump,GOP,0.841121
20041,Trump,GOP,0.762221
20043,Trump,GOP,0.802373
20045,Trump,GOP,0.290545
20047,Trump,GOP,0.797345
20049,Trump,GOP,0.837619
20051,Trump,GOP,0.707101
20053,Trump,GOP,0.752892
20055,Trump,GOP,0.61322
20057,Trump,GOP,0.650925
20059,Trump,GOP,0.67957
20061,Trump,GOP,0.554306
20063,Trump,GOP,0.877634
20065,Trump,GOP,0.807779
20067,Trump,GOP,0.77409
20069,Trump,GOP,0.835227
20071,Trump,GOP,0.856474
20073,Trump,GOP,0.79428
20075,Trump,GOP,0.812573
20077,Trump,GOP,0.809559
20079,Trump,GOP,0.588249
20081,Trump,GOP,0.795745
20083,Trump,GOP,0.837321
20085,Trump,GOP,0.686057
20087,Trump,GOP,0.647516
20089,Trump,GOP,0.851966
20091,Trump,GOP,0.448228
20093,Trump,GOP,0.8
20095,Trump,GOP,0.792606
20097,Trump,GOP,0.841202
20099,Trump,GOP,0.669742
20101,Trump,GOP,0.851397
20103,Trump,GOP,0.592217
20105,Trump,GOP,0.81254
20107,Trump,GOP,0.80222
20109,Trump,GOP,0.856653
20111,Trump,GOP,0.539748
20113,Trump,GOP,0.690123
20115,Trump,GOP,0.73065
20117,Trump,GOP,0.729175
20119,Trump,GOP,0.834521
20121,Trump,GOP,0.686179
20123,Trump,GOP,0.807481
20125,Trump,GOP,0.739684
20127,Trump,GOP,0.732666
20129,Trump,GOP,0.863105
20131,Trump,GOP,0.820549
20133,Trump,GOP,0.722699
20135,Trump,GOP,0.884997
20137,Trump,GOP,0.831056
20139,Trump,GOP,0.710019
